GO No.,GO Date,GO Description,Issued by,Gazette Week Date,Pg No
692/XXVII(8)/Vanijya Kar/2006,2006-08-29,Promotion to the post of Joint Commissioner .,Indu Kumar Pande(Chief Secretary),2006-09-16,332
681/XXIV(6)/2006-6(145)/06,2006-08-23,Regarding University of Patanjali Act 2006.,S.Raju(Secretary),2006-09-16,335
692/XXVII(8)/Vanijya Kar/2006,2006-08-29,Promotion to the post of Joint Commissioner .,Indu Kumar Pande(Chief Secretary),2006-09-16,332
282/UTA/2006,2006-09-18,Corrigendum for 282/UTA/2006,Shangara Ram(Secretary),2006-09-18,1
282/UTA/2006,2006-09-18,Corrigendum for 282/UTA/2006,Shangara Ram(Secretary),2006-09-18,1
282/UTA/2006,2006-09-18,Corrigendum for 282/UTA/2006,Shangara Ram(Secretary),2006-09-18,1
282/UTA/2006,2006-09-18,Corrigendum for 282/UTA/2006,Shangara Ram(Secretary),2006-09-18,1
113/P.Nirvachan/2006,2006-09-05,,District Magistrate Almora(District Magistrate),2006-09-23,43
86/panch/Nirvachan/2006,2006-09-05,,District Magistrate USNagar(District Magistrate),2006-09-23,47
146/Panch.Nirvachan/2006,2006-09-04,,District Magistrate Pithoragarh(District Magistrate),2006-09-23,48
280/21-Adhi/nirvachan/06,2006-09-05,,District Magistrate Chamoli(District Magistrate),2006-09-23,51
106/p.u.nir/2005-2006,2006-09-05,,District Magistrate Pauri(District Magistrate),2006-09-23,53
132/p.up.nirva/2006,2006-09-05,,District Magistrate Uttarkashi(District Magistrate),2006-09-23,56
113/P.Nirvachan/2006,2006-09-05,,District Magistrate Almora(District Magistrate),2006-09-23,43
86/panch/Nirvachan/2006,2006-09-05,,District Magistrate USNagar(District Magistrate),2006-09-23,47
146/Panch.Nirvachan/2006,2006-09-04,,District Magistrate Pithoragarh(District Magistrate),2006-09-23,48
280/21-Adhi/nirvachan/06,2006-09-05,,District Magistrate Chamoli(District Magistrate),2006-09-23,51
106/p.u.nir/2005-2006,2006-09-05,,District Magistrate Pauri(District Magistrate),2006-09-23,53
132/p.up.nirva/2006,2006-09-05,,District Magistrate Uttarkashi(District Magistrate),2006-09-23,56
892/XX(5)/06-HG/06,2006-09-19,Regarding Promotion Shri Sachida Nand Saha Comdt.Homegard.,Vibha Puri Das(PRINCIPAL SECRETARY),2006-09-23,352
2904/Ayukt kar/06-07,2006-09-16,Misplace of Form C,S.Ramaswami(Commissioner Tax Officer),2006-09-23,121
4389/30-1-06-31(2)/06,2006-09-14,Regarding Shrimati Indira Ashish Secretary Low and,Nrip Singh Napalchiyal(PRINCIPAL SECRETARY),2006-09-23,352
892/XX(5)/06-HG/06,2006-09-19,Regarding Promotion Shri Sachida Nand Saha Comdt.Homegard.,Vibha Puri Das(PRINCIPAL SECRETARY),2006-09-23,352
892/XX(5)/06-HG/06,2006-09-19,Regarding Promotion Shri Sachida Nand Saha Comdt.Homegard.,Vibha Puri Das(PRINCIPAL SECRETARY),2006-09-23,352
892/XX(5)/06-HG/06,2006-09-19,Regarding Promotion Shri Sachida Nand Saha Comdt.Homegard.,Vibha Puri Das(PRINCIPAL SECRETARY),2006-09-23,352
113/P.Nirvachan/2006,2006-09-05,,District Magistrate Almora(District Magistrate),2006-09-23,43
86/panch/Nirvachan/2006,2006-09-05,,District Magistrate USNagar(District Magistrate),2006-09-23,47
146/Panch.Nirvachan/2006,2006-09-04,,District Magistrate Pithoragarh(District Magistrate),2006-09-23,48
280/21-Adhi/nirvachan/06,2006-09-05,,District Magistrate Chamoli(District Magistrate),2006-09-23,51
106/p.u.nir/2005-2006,2006-09-05,,District Magistrate Pauri(District Magistrate),2006-09-23,53
132/p.up.nirva/2006,2006-09-05,,District Magistrate Uttarkashi(District Magistrate),2006-09-23,56
113/P.Nirvachan/2006,2006-09-05,,District Magistrate Almora(District Magistrate),2006-09-23,43
86/panch/Nirvachan/2006,2006-09-05,,District Magistrate USNagar(District Magistrate),2006-09-23,47
146/Panch.Nirvachan/2006,2006-09-04,,District Magistrate Pithoragarh(District Magistrate),2006-09-23,48
280/21-Adhi/nirvachan/06,2006-09-05,,District Magistrate Chamoli(District Magistrate),2006-09-23,51
106/p.u.nir/2005-2006,2006-09-05,,District Magistrate Pauri(District Magistrate),2006-09-23,53
132/p.up.nirva/2006,2006-09-05,,District Magistrate Uttarkashi(District Magistrate),2006-09-23,56
208/Liicence Fees/2006,2006-07-24,,President Nagar Palika Parishad  Tehri         (President),2006-09-23,47
209/Licence Fees/2006,2006-07-24,Regarding Licence Fees,President Nagar Palika Parishad  Tehri         (President),2006-09-23,48
892/XX(5)/06-HG/06,2006-09-19,Regarding Promotion Shri Sachida Nand Saha Comdt.Homegard.,Vibha Puri Das(PRINCIPAL SECRETARY),2006-09-23,352
4389/30-1-06-31(2)/06,2006-09-14,Regarding Shrimati Indira Ashish Secretary Low and,Nrip Singh Napalchiyal(PRINCIPAL SECRETARY),2006-09-23,352
2904/Ayukt kar/06-07,2006-09-16,Misplace of Form C,S.Ramaswami(Commissioner Tax Officer),2006-09-23,121
4389/30-1-06-31(2)/06,2006-09-14,Regarding Shrimati Indira Ashish Secretary Low and,Nrip Singh Napalchiyal(PRINCIPAL SECRETARY),2006-09-23,352
4389/30-1-06-31(2)/06,2006-09-14,Regarding Shrimati Indira Ashish Secretary Low and,Nrip Singh Napalchiyal(PRINCIPAL SECRETARY),2006-09-23,352
4389/30-1-06-31(2)/06,2006-09-14,Regarding Shrimati Indira Ashish Secretary Low and,Nrip Singh Napalchiyal(PRINCIPAL SECRETARY),2006-09-23,352
2904/Ayukt kar/06-07,2006-09-16,Misplace of Form C,S.Ramaswami(Commissioner Tax Officer),2006-09-23,121
892/XX(5)/06-HG/06,2006-09-19,Regarding Promotion Shri Sachida Nand Saha Comdt.Homegard.,Vibha Puri Das(PRINCIPAL SECRETARY),2006-09-23,352
4389/30-1-06-31(2)/06,2006-09-14,Regarding Shrimati Indira Ashish Secretary Low and,Nrip Singh Napalchiyal(PRINCIPAL SECRETARY),2006-09-23,352
892/XX(5)/06-HG/06,2006-09-19,Regarding Promotion Shri Sachida Nand Saha Comdt.Homegard.,Vibha Puri Das(PRINCIPAL SECRETARY),2006-09-23,352
113/P.Nirvachan/2006,2006-09-05,,District Magistrate Almora(District Magistrate),2006-09-23,43
86/panch/Nirvachan/2006,2006-09-05,,District Magistrate USNagar(District Magistrate),2006-09-23,47
146/Panch.Nirvachan/2006,2006-09-04,,District Magistrate Pithoragarh(District Magistrate),2006-09-23,48
280/21-Adhi/nirvachan/06,2006-09-05,,District Magistrate Chamoli(District Magistrate),2006-09-23,51
106/p.u.nir/2005-2006,2006-09-05,,District Magistrate Pauri(District Magistrate),2006-09-23,53
132/p.up.nirva/2006,2006-09-05,,District Magistrate Uttarkashi(District Magistrate),2006-09-23,56
892/XX(5)/06-HG/06,2006-09-19,Regarding Promotion Shri Sachida Nand Saha Comdt.Homegard.,Vibha Puri Das(PRINCIPAL SECRETARY),2006-09-23,352
223/panc/2006,2006-09-05,,Girja Shankar Joshi(District Magistrate),2006-09-30,59
223/panc/2006,2006-09-05,,Girja Shankar Joshi(District Magistrate),2006-09-30,59
2251/XX-1/323/IPS/05,2006-09-20,Regarding Superniosion of 60 year age shri P.D.Raturi,Vibha Puri Das(PRINCIPAL SECRETARY),2006-09-30,354
2251/XX-1/323/IPS/05,2006-09-20,Regarding Superniosion of 60 year age shri P.D.Raturi,Vibha Puri Das(PRINCIPAL SECRETARY),2006-09-30,354
2251/XX-1/323/IPS/05,2006-09-20,Regarding Superniosion of 60 year age shri P.D.Raturi,Vibha Puri Das(PRINCIPAL SECRETARY),2006-09-30,354
2251/XX-1/323/IPS/05,2006-09-20,Regarding Superniosion of 60 year age shri P.D.Raturi,Vibha Puri Das(PRINCIPAL SECRETARY),2006-09-30,354
"130,131/UHC/Admin.A/2005",2006-09-06,Regarding Relieved from that Post with immediate effect.,V.K.Maheshwari(Registrar General),2006-09-30,123
"134,135,136/UHC/Admin.A/2005",2006-09-20,Regarding Transfer and Posted Civil Judge.,V.K.Maheshwari(Registrar General),2006-09-30,124
132/UHC/Admin.A/2005,2006-09-08,"Regarding Joint Registrar,Highcourt of Uttaranchal as the State Public Information officer for the High Court of Uttaranchal.",V.K.Maheshwari(RTO),2006-09-30,123
4242/II-06-01(46)/2005,2006-09-05,Regarding Superniosion 60 year age,N.Ravi Shankar(PRINCIPAL SECRETARY),2006-09-30,354
"130,131/UHC/Admin.A/2005",2006-09-06,Regarding Relieved from that Post with immediate effect.,V.K.Maheshwari(Registrar General),2006-09-30,123
"134,135,136/UHC/Admin.A/2005",2006-09-20,Regarding Transfer and Posted Civil Judge.,V.K.Maheshwari(Registrar General),2006-09-30,124
132/UHC/Admin.A/2005,2006-09-08,"Regarding Joint Registrar,Highcourt of Uttaranchal as the State Public Information officer for the High Court of Uttaranchal.",V.K.Maheshwari(RTO),2006-09-30,123
223/panc/2006,2006-09-05,,Girja Shankar Joshi(District Magistrate),2006-09-30,59
223/panc/2006,2006-09-05,,Girja Shankar Joshi(District Magistrate),2006-09-30,59
4242/II-06-01(46)/2005,2006-09-05,Regarding Superniosion 60 year age,N.Ravi Shankar(PRINCIPAL SECRETARY),2006-09-30,354
4242/II-06-01(46)/2005,2006-09-05,Regarding Superniosion 60 year age,N.Ravi Shankar(PRINCIPAL SECRETARY),2006-09-30,354
745XXVII (8)/vanijya kar/2006,2006-09-20,State govt. is satisfied that it is expedient so to do in public interest.,Radha Raturi(Secretary),2006-09-30,355
745XXVII (8)/vanijya kar/2006,2006-09-20,State govt. is satisfied that it is expedient so to do in public interest.,Radha Raturi(Secretary),2006-09-30,355
745XXVII (8)/vanijya kar/2006,2006-09-20,State govt. is satisfied that it is expedient so to do in public interest.,Radha Raturi(Secretary),2006-09-30,355
4242/II-06-01(46)/2005,2006-09-05,Regarding Superniosion 60 year age,N.Ravi Shankar(PRINCIPAL SECRETARY),2006-09-30,354
745XXVII (8)/vanijya kar/2006,2006-09-20,State govt. is satisfied that it is expedient so to do in public interest.,Radha Raturi(Secretary),2006-09-30,355
2251/XX-1/323/IPS/05,2006-09-20,Regarding Superniosion of 60 year age shri P.D.Raturi,Vibha Puri Das(PRINCIPAL SECRETARY),2006-09-30,354
4656/X-2-2006-8(34)/2001,2006-09-06,Shri Shyam Lal Bansal Nominate to Member of State Wildlife Advisory Board,Om Prakash(Secretary),2006-09-30,355
4656/X-2-2006-8(34)/2001,2006-09-06,Shri Shyam Lal Bansal Nominate to Member of State Wildlife Advisory Board,Om Prakash(Secretary),2006-09-30,355
745XXVII (8)/vanijya kar/2006,2006-09-20,State govt. is satisfied that it is expedient so to do in public interest.,Radha Raturi(Secretary),2006-09-30,355
745XXVII (8)/vanijya kar/2006,2006-09-20,State govt. is satisfied that it is expedient so to do in public interest.,Radha Raturi(Secretary),2006-09-30,355
4656/X-2-2006-8(34)/2001,2006-09-06,Shri Shyam Lal Bansal Nominate to Member of State Wildlife Advisory Board,Om Prakash(Secretary),2006-09-30,355
"130,131/UHC/Admin.A/2005",2006-09-06,Regarding Relieved from that Post with immediate effect.,V.K.Maheshwari(Registrar General),2006-09-30,123
"134,135,136/UHC/Admin.A/2005",2006-09-20,Regarding Transfer and Posted Civil Judge.,V.K.Maheshwari(Registrar General),2006-09-30,124
132/UHC/Admin.A/2005,2006-09-08,"Regarding Joint Registrar,Highcourt of Uttaranchal as the State Public Information officer for the High Court of Uttaranchal.",V.K.Maheshwari(RTO),2006-09-30,123
85/VIII/05-Pras./2006,2006-08-17,,T.R.Bhatt(PRINCIPAL SECRETARY),2006-09-30,358
86/VIII/06-Pras./2006,2006-08-17,,T.R.Bhatt(PRINCIPAL SECRETARY),2006-09-30,360
1218/VIII/77/Pras/2006,2006-08-17,,T.R.Bhatt(PRINCIPAL SECRETARY),2006-09-30,364
1215/VIII/74-Pras/2006,2006-08-17,,T.R.Bhatt(PRINCIPAL SECRETARY),2006-09-30,362
1220/VIII/79/Pras/2006,2006-09-13,,T.R.Bhatt(PRINCIPAL SECRETARY),2006-09-30,368
"130,131/UHC/Admin.A/2005",2006-09-06,Regarding Relieved from that Post with immediate effect.,V.K.Maheshwari(Registrar General),2006-09-30,123
"134,135,136/UHC/Admin.A/2005",2006-09-20,Regarding Transfer and Posted Civil Judge.,V.K.Maheshwari(Registrar General),2006-09-30,124
132/UHC/Admin.A/2005,2006-09-08,"Regarding Joint Registrar,Highcourt of Uttaranchal as the State Public Information officer for the High Court of Uttaranchal.",V.K.Maheshwari(RTO),2006-09-30,123
1230/XI/06/53(50)/04,2006-09-05,Regarding Shri Virendra Pratap Singh Hawalbag Almora.,P.K..Mohanti(Secretary),2006-09-30,355
"130,131/UHC/Admin.A/2005",2006-09-06,Regarding Relieved from that Post with immediate effect.,V.K.Maheshwari(Registrar General),2006-09-30,123
"134,135,136/UHC/Admin.A/2005",2006-09-20,Regarding Transfer and Posted Civil Judge.,V.K.Maheshwari(Registrar General),2006-09-30,124
132/UHC/Admin.A/2005,2006-09-08,"Regarding Joint Registrar,Highcourt of Uttaranchal as the State Public Information officer for the High Court of Uttaranchal.",V.K.Maheshwari(RTO),2006-09-30,123
2251/XX-1/323/IPS/05,2006-09-20,Regarding Superniosion of 60 year age shri P.D.Raturi,Vibha Puri Das(PRINCIPAL SECRETARY),2006-09-30,354
745XXVII (8)/vanijya kar/2006,2006-09-20,State govt. is satisfied that it is expedient so to do in public interest.,Radha Raturi(Secretary),2006-09-30,355
"130,131/UHC/Admin.A/2005",2006-09-06,Regarding Relieved from that Post with immediate effect.,V.K.Maheshwari(Registrar General),2006-09-30,123
"134,135,136/UHC/Admin.A/2005",2006-09-20,Regarding Transfer and Posted Civil Judge.,V.K.Maheshwari(Registrar General),2006-09-30,124
132/UHC/Admin.A/2005,2006-09-08,"Regarding Joint Registrar,Highcourt of Uttaranchal as the State Public Information officer for the High Court of Uttaranchal.",V.K.Maheshwari(RTO),2006-09-30,123
4242/II-06-01(46)/2005,2006-09-05,Regarding Superniosion 60 year age,N.Ravi Shankar(PRINCIPAL SECRETARY),2006-09-30,354
4656/X-2-2006-8(34)/2001,2006-09-06,Shri Shyam Lal Bansal Nominate to Member of State Wildlife Advisory Board,Om Prakash(Secretary),2006-09-30,355
745XXVII (8)/vanijya kar/2006,2006-09-20,State govt. is satisfied that it is expedient so to do in public interest.,Radha Raturi(Secretary),2006-09-30,355
2251/XX-1/323/IPS/05,2006-09-20,Regarding Superniosion of 60 year age shri P.D.Raturi,Vibha Puri Das(PRINCIPAL SECRETARY),2006-09-30,354
4242/II-06-01(46)/2005,2006-09-05,Regarding Superniosion 60 year age,N.Ravi Shankar(PRINCIPAL SECRETARY),2006-09-30,354
223/panc/2006,2006-09-05,,Girja Shankar Joshi(District Magistrate),2006-09-30,59
2251/XX-1/323/IPS/05,2006-09-20,Regarding Superniosion of 60 year age shri P.D.Raturi,Vibha Puri Das(PRINCIPAL SECRETARY),2006-09-30,354
476/XIII-II/203(1)/2002,2006-09-20,"Shri Dilshad Ahmed, Gur Arhati,Manglore market yard as member of commission agents in Manglore market.",Om Prakash(Secretary),2006-09-30,358
138/UHC/Admin.A/2006,2006-09-23,Shri Dharam Veer Singh has Charge of the Office of Additional Judge of Uttaranchal High Court Nainital on 23 Sept.2006,V.K.Maheshwari(Registrar General),2006-10-07,125
1579/XXVII(1)/2006,2006-09-27,Uttaranchal Budget Fiscal planning and Resource Directorate Service rules 2006.,Indu Kumar Pande(PRINCIPAL SECRETARY),2006-10-07,372
1581/XXVII(1)/2006,2006-09-27,Uttaranchal Finance Commission Directorate Service Rules 2006,Indu Kumar Pande(PRINCIPAL SECRETARY),2006-10-07,386
1579/XXVII(1)/2006,2006-09-27,Uttaranchal Budget Fiscal planning and Resource Directorate Service rules 2006.,Indu Kumar Pande(PRINCIPAL SECRETARY),2006-10-07,372
1581/XXVII(1)/2006,2006-09-27,Uttaranchal Finance Commission Directorate Service Rules 2006,Indu Kumar Pande(PRINCIPAL SECRETARY),2006-10-07,386
138/UHC/Admin.A/2006,2006-09-23,Shri Dharam Veer Singh has Charge of the Office of Additional Judge of Uttaranchal High Court Nainital on 23 Sept.2006,V.K.Maheshwari(Registrar General),2006-10-07,125
1579/XXVII(1)/2006,2006-09-27,Uttaranchal Budget Fiscal planning and Resource Directorate Service rules 2006.,Indu Kumar Pande(PRINCIPAL SECRETARY),2006-10-07,372
1581/XXVII(1)/2006,2006-09-27,Uttaranchal Finance Commission Directorate Service Rules 2006,Indu Kumar Pande(PRINCIPAL SECRETARY),2006-10-07,386
138/UHC/Admin.A/2006,2006-09-23,Shri Dharam Veer Singh has Charge of the Office of Additional Judge of Uttaranchal High Court Nainital on 23 Sept.2006,V.K.Maheshwari(Registrar General),2006-10-07,125
1579/XXVII(1)/2006,2006-09-27,Uttaranchal Budget Fiscal planning and Resource Directorate Service rules 2006.,Indu Kumar Pande(PRINCIPAL SECRETARY),2006-10-07,372
1581/XXVII(1)/2006,2006-09-27,Uttaranchal Finance Commission Directorate Service Rules 2006,Indu Kumar Pande(PRINCIPAL SECRETARY),2006-10-07,386
1579/XXVII(1)/2006,2006-09-27,Uttaranchal Budget Fiscal planning and Resource Directorate Service rules 2006.,Indu Kumar Pande(PRINCIPAL SECRETARY),2006-10-07,372
1581/XXVII(1)/2006,2006-09-27,Uttaranchal Finance Commission Directorate Service Rules 2006,Indu Kumar Pande(PRINCIPAL SECRETARY),2006-10-07,386
138/UHC/Admin.A/2006,2006-09-23,Shri Dharam Veer Singh has Charge of the Office of Additional Judge of Uttaranchal High Court Nainital on 23 Sept.2006,V.K.Maheshwari(Registrar General),2006-10-07,125
138/UHC/Admin.A/2006,2006-09-23,Shri Dharam Veer Singh has Charge of the Office of Additional Judge of Uttaranchal High Court Nainital on 23 Sept.2006,V.K.Maheshwari(Registrar General),2006-10-07,125
1579/XXVII(1)/2006,2006-09-27,Uttaranchal Budget Fiscal planning and Resource Directorate Service rules 2006.,Indu Kumar Pande(PRINCIPAL SECRETARY),2006-10-07,372
1581/XXVII(1)/2006,2006-09-27,Uttaranchal Finance Commission Directorate Service Rules 2006,Indu Kumar Pande(PRINCIPAL SECRETARY),2006-10-07,386
1579/XXVII(1)/2006,2006-09-27,Uttaranchal Budget Fiscal planning and Resource Directorate Service rules 2006.,Indu Kumar Pande(PRINCIPAL SECRETARY),2006-10-07,372
1581/XXVII(1)/2006,2006-09-27,Uttaranchal Finance Commission Directorate Service Rules 2006,Indu Kumar Pande(PRINCIPAL SECRETARY),2006-10-07,386
1579/XXVII(1)/2006,2006-09-27,Uttaranchal Budget Fiscal planning and Resource Directorate Service rules 2006.,Indu Kumar Pande(PRINCIPAL SECRETARY),2006-10-07,372
1581/XXVII(1)/2006,2006-09-27,Uttaranchal Finance Commission Directorate Service Rules 2006,Indu Kumar Pande(PRINCIPAL SECRETARY),2006-10-07,386
"121,122,123,124,125.126,127,128/UHC/Admin.A/2006",2006-09-02,Regarding Additional Charge,V.K.Maheshwari(Registrar General),2006-10-14,128
129/XIII-E-2/2003,2006-09-04,Sanction 15 days EL shri Naresh Chand Dubey,Ravindra Maithani(Additional Registrar),2006-10-14,128
93/panch.chu/08/2006,2006-09-05,Regarding Panchayat Election.,Dr.Rakesh Kumar(District Magistrate),2006-10-14,63
"121,122,123,124,125.126,127,128/UHC/Admin.A/2006",2006-09-02,Regarding Additional Charge,V.K.Maheshwari(Registrar General),2006-10-14,128
129/XIII-E-2/2003,2006-09-04,Sanction 15 days EL shri Naresh Chand Dubey,Ravindra Maithani(Additional Registrar),2006-10-14,128
93/panch.chu/08/2006,2006-09-05,Regarding Panchayat Election.,Dr.Rakesh Kumar(District Magistrate),2006-10-14,63
"10,11,12,13,14-No-L/XXXVI(1)/06",2006-08-31,Regarding Practice Certificate,Indira Ashish(Secretary),2006-10-14,404
93/panch.chu/08/2006,2006-09-05,Regarding Panchayat Election.,Dr.Rakesh Kumar(District Magistrate),2006-10-14,63
"121,122,123,124,125.126,127,128/UHC/Admin.A/2006",2006-09-02,Regarding Additional Charge,V.K.Maheshwari(Registrar General),2006-10-14,128
129/XIII-E-2/2003,2006-09-04,Sanction 15 days EL shri Naresh Chand Dubey,Ravindra Maithani(Additional Registrar),2006-10-14,128
1478/Form Section-2006-2007,2006-09-14,Misplace of Form C,S.Ramaswami(Commissioner Tax Officer),2006-10-14,129
93/panch.chu/08/2006,2006-09-05,Regarding Panchayat Election.,Dr.Rakesh Kumar(District Magistrate),2006-10-14,63
"121,122,123,124,125.126,127,128/UHC/Admin.A/2006",2006-09-02,Regarding Additional Charge,V.K.Maheshwari(Registrar General),2006-10-14,128
129/XIII-E-2/2003,2006-09-04,Sanction 15 days EL shri Naresh Chand Dubey,Ravindra Maithani(Additional Registrar),2006-10-14,128
"121,122,123,124,125.126,127,128/UHC/Admin.A/2006",2006-09-02,Regarding Additional Charge,V.K.Maheshwari(Registrar General),2006-10-14,128
129/XIII-E-2/2003,2006-09-04,Sanction 15 days EL shri Naresh Chand Dubey,Ravindra Maithani(Additional Registrar),2006-10-14,128
"10,11,12,13,14-No-L/XXXVI(1)/06",2006-08-31,Regarding Practice Certificate,Indira Ashish(Secretary),2006-10-14,404
"10,11,12,13,14-No-L/XXXVI(1)/06",2006-08-31,Regarding Practice Certificate,Indira Ashish(Secretary),2006-10-14,404
1478/Form Section-2006-2007,2006-09-14,Misplace of Form C,S.Ramaswami(Commissioner Tax Officer),2006-10-14,129
3354/Anu.Tarrif/2006-2007,2006-10-09,Regarding Water Tax,H.P.Uniyal(CGM),2006-10-14,129
"10,11,12,13,14-No-L/XXXVI(1)/06",2006-08-31,Regarding Practice Certificate,Indira Ashish(Secretary),2006-10-14,404
1478/Form Section-2006-2007,2006-09-14,Misplace of Form C,S.Ramaswami(Commissioner Tax Officer),2006-10-14,129
1478/Form Section-2006-2007,2006-09-14,Misplace of Form C,S.Ramaswami(Commissioner Tax Officer),2006-10-14,129
1145/XIX/V.Dancha/06-132/2002,2006-09-14,,Harish Chandra Joshi(Secretary),2006-10-21,410
2175,2006-09-19,Regarding Licence Cancel,Asstt RTO Pauri(Asst RTO),2006-10-21,133
2277/XX(2)/109/2002,2006-09-22,Regarding ITI Examination.,Manjul Kumar Joshi(Additional Secretary),2006-10-21,420
2175,2006-09-19,Regarding Licence Cancel,Asstt RTO Pauri(Asst RTO),2006-10-21,133
124/panch.nirva/2006,2006-09-12,Amendment to Notification no. 114/panch Nirvachan,District Magistrate Almora(District Magistrate),2006-10-21,67
2277/XX(2)/109/2002,2006-09-22,Regarding ITI Examination.,Manjul Kumar Joshi(Additional Secretary),2006-10-21,420
1081/XXXI/(13)/G/06-37/2006,2006-09-22,Regarding Maharaja Agarsain Jayanti,Bhaskara Nand(Additional Secretary),2006-10-21,421
2277/XX(2)/109/2002,2006-09-22,Regarding ITI Examination.,Manjul Kumar Joshi(Additional Secretary),2006-10-21,420
360/1/2004-05,2005-12-01,,N C Sharma(Excise Commissioner),2006-10-21,133
124/panch.nirva/2006,2006-09-12,Amendment to Notification no. 114/panch Nirvachan,District Magistrate Almora(District Magistrate),2006-10-21,67
2277/XX(2)/109/2002,2006-09-22,Regarding ITI Examination.,Manjul Kumar Joshi(Additional Secretary),2006-10-21,420
124/panch.nirva/2006,2006-09-12,Amendment to Notification no. 114/panch Nirvachan,District Magistrate Almora(District Magistrate),2006-10-21,67
2175,2006-09-19,Regarding Licence Cancel,Asstt RTO Pauri(Asst RTO),2006-10-21,133
1081/XXXI/(13)/G/06-37/2006,2006-09-22,Regarding Maharaja Agarsain Jayanti,Bhaskara Nand(Additional Secretary),2006-10-21,421
1081/XXXI/(13)/G/06-37/2006,2006-09-22,Regarding Maharaja Agarsain Jayanti,Bhaskara Nand(Additional Secretary),2006-10-21,421
124/panch.nirva/2006,2006-09-12,Amendment to Notification no. 114/panch Nirvachan,District Magistrate Almora(District Magistrate),2006-10-21,67
2175,2006-09-19,Regarding Licence Cancel,Asstt RTO Pauri(Asst RTO),2006-10-21,133
2175,2006-09-19,Regarding Licence Cancel,Asstt RTO Pauri(Asst RTO),2006-10-21,133
2277/XX(2)/109/2002,2006-09-22,Regarding ITI Examination.,Manjul Kumar Joshi(Additional Secretary),2006-10-21,420
2175,2006-09-19,Regarding Licence Cancel,Asstt RTO Pauri(Asst RTO),2006-10-21,133
360/1/2004-05,2005-12-01,,N C Sharma(Excise Commissioner),2006-10-21,133
2277/XX(2)/109/2002,2006-09-22,Regarding ITI Examination.,Manjul Kumar Joshi(Additional Secretary),2006-10-21,420
2175,2006-09-19,Regarding Licence Cancel,Asstt RTO Pauri(Asst RTO),2006-10-21,133
1081/XXXI/(13)/G/06-37/2006,2006-09-22,Regarding Maharaja Agarsain Jayanti,Bhaskara Nand(Additional Secretary),2006-10-21,421
2277/XX(2)/109/2002,2006-09-22,Regarding ITI Examination.,Manjul Kumar Joshi(Additional Secretary),2006-10-21,420
1293/VIII/84/2006,2006-09-20,,T.R.Bhatt(Additional Secretary),2006-10-28,430
1211/VIII/70/2006,2006-09-20,,T.R.Bhatt(Additional Secretary),2006-10-28,424
1291/VIII/34/2006,2006-09-20,,T.R.Bhatt(Additional Secretary),2006-10-28,426
1292/VIII/65/2006,2006-09-20,,T.R.Bhatt(Additional Secretary),2006-10-28,428
1294/VIII/06-519/2002,2006-09-20,,T.R.Bhatt(Additional Secretary),2006-10-28,432
1293/VIII/84/2006,2006-09-20,,T.R.Bhatt(Additional Secretary),2006-10-28,430
1211/VIII/70/2006,2006-09-20,,T.R.Bhatt(Additional Secretary),2006-10-28,424
1291/VIII/34/2006,2006-09-20,,T.R.Bhatt(Additional Secretary),2006-10-28,426
1292/VIII/65/2006,2006-09-20,,T.R.Bhatt(Additional Secretary),2006-10-28,428
1294/VIII/06-519/2002,2006-09-20,,T.R.Bhatt(Additional Secretary),2006-10-28,432
4056/VII-1-06/457,2006-10-11,Promotion to shri Uma Kant Joshi USNagar.,Sanjeev Chopra(Secretary),2006-11-04,440
8-9/E/XXXVI(I)/06-924,2006-10-09,Apoint Shri Khemraj Mishra Advocate as Notary for period Five Years.,Vibha Puri Das(PRINCIPAL SECRETARY),2006-11-04,439
2443/-1/348/2004,2006-10-12,Post-Martem and Medical,Vibha Puri Das(PRINCIPAL SECRETARY),2006-11-04,438
2433/265/XX(I)/Police/2005,2006-10-12,"Uttaranchal (UP Police Radio Subordinate Service rules 1982
( Amendment) Rules 2006",Vibha Puri Das(PRINCIPAL SECRETARY),2006-11-04,436
"143,144/UHC/Admin.A/2006",2006-10-12,Regarding 5 years Completing Service in HJS cadre,V.K.Maheshwari(Registrar General),2006-11-04,140
146/UHC/Admin.A/2006,2006-10-18,Trying cases under the enactments specified in Schedule-II as Said Notification.,V.K.Maheshwari(Registrar General),2006-11-04,141
142/UHC/Admin.A/2006,2006-10-12,The following officers are here by confirmed in Uttaranchal Higher Judicial Service .,Joint Ragistrar(Joint Registrar),2006-11-04,139
4056/VII-1-06/457,2006-10-11,Promotion to shri Uma Kant Joshi USNagar.,Sanjeev Chopra(Secretary),2006-11-04,440
8-9/E/XXXVI(I)/06-924,2006-10-09,Apoint Shri Khemraj Mishra Advocate as Notary for period Five Years.,Vibha Puri Das(PRINCIPAL SECRETARY),2006-11-04,439
2443/-1/348/2004,2006-10-12,Post-Martem and Medical,Vibha Puri Das(PRINCIPAL SECRETARY),2006-11-04,438
2433/265/XX(I)/Police/2005,2006-10-12,"Uttaranchal (UP Police Radio Subordinate Service rules 1982
( Amendment) Rules 2006",Vibha Puri Das(PRINCIPAL SECRETARY),2006-11-04,436
1330/XVI/1(53)/200/01,2006-10-11,,Utpal Kumar Singh(Secretary),2006-11-04,441
